"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"int_score",-0.017,0.041,-0.424,0.672,-0.029,0.042,-0.7,0.485
"confidante",-0.009,0.106,-0.087,0.931,-0.016,0.106,-0.15,0.881
"int_score_long",-0.032,0.065,-0.491,0.624,-0.025,0.074,-0.338,0.735
"age_long",-0.045,0.034,-1.32,0.188,-0.04,0.04,-1.012,0.313
"intscorexage",0.003,0.005,0.602,0.547,0.003,0.006,0.449,0.654
"confi_long",-0.14,0.164,-0.852,0.395,-0.055,0.185,-0.297,0.767
"age",-0.036,0.026,-1.354,0.177,-0.03,0.031,-0.97,0.333
"confixage",0.009,0.014,0.635,0.525,0.002,0.016,0.136,0.892
